14.646036 0.042893 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 150529, win 501, options [nop,nop,TS val 3014803051 ecr 1083247461], length 0
14.746035 0.042900 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 151553, win 501, options [nop,nop,TS val 3014803151 ecr 1083247561], length 0
14.846038 0.042867 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 152577, win 501, options [nop,nop,TS val 3014803251 ecr 1083247661], length 0
14.946037 0.042878 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 153601, win 501, options [nop,nop,TS val 3014803351 ecr 1083247761], length 0
15.046036 0.042835 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 154625, win 501, options [nop,nop,TS val 3014803451 ecr 1083247861], length 0
15.146038 0.042851 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 155649, win 501, options [nop,nop,TS val 3014803551 ecr 1083247961], length 0
15.246036 0.042861 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 156673, win 501, options [nop,nop,TS val 3014803651 ecr 1083248061], length 0
15.346037 0.042822 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 157697, win 501, options [nop,nop,TS val 3014803751 ecr 1083248161], length 0
15.446036 0.042827 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 158721, win 501, options [nop,nop,TS val 3014803851 ecr 1083248261], length 0
15.546034 0.042792 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 159745, win 501, options [nop,nop,TS val 3014803951 ecr 1083248361], length 0
15.646039 0.042812 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 160769, win 501, options [nop,nop,TS val 3014804051 ecr 1083248461], length 0
15.745931 0.042660 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 161793, win 501, options [nop,nop,TS val 3014804151 ecr 1083248561], length 0
15.846037 0.042783 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 162817, win 501, options [nop,nop,TS val 3014804251 ecr 1083248661], length 0
15.946036 0.042746 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 163841, win 501, options [nop,nop,TS val 3014804351 ecr 1083248761], length 0
16.046035 0.042757 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 164865, win 501, options [nop,nop,TS val 3014804451 ecr 1083248861], length 0
16.146038 0.042721 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 165889, win 501, options [nop,nop,TS val 3014804551 ecr 1083248962], length 0
16.246033 0.042725 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 166913, win 501, options [nop,nop,TS val 3014804651 ecr 1083249062], length 0
16.346035 0.042693 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 167937, win 501, options [nop,nop,TS val 3014804751 ecr 1083249162], length 0
16.446035 0.042705 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 168961, win 501, options [nop,nop,TS val 3014804851 ecr 1083249262], length 0
