colors% ./client -b 1k hspc02-exp0                 ~/app/c/socket/tcp-server-client/client
2025-10-16 10:16:47.644068 after  read() quickack_state: 1
2025-10-16 10:16:47.644090 before read() quickack_state: 1
2025-10-16 10:16:47.744069 after  read() quickack_state: 1
2025-10-16 10:16:47.744087 before read() quickack_state: 1
2025-10-16 10:16:47.844116 after  read() quickack_state: 1
2025-10-16 10:16:47.844135 before read() quickack_state: 1
2025-10-16 10:16:47.944062 after  read() quickack_state: 1
2025-10-16 10:16:47.944081 before read() quickack_state: 1
2025-10-16 10:16:48.044075 after  read() quickack_state: 1
2025-10-16 10:16:48.044095 before read() quickack_state: 1
2025-10-16 10:16:48.144120 after  read() quickack_state: 1
2025-10-16 10:16:48.144139 before read() quickack_state: 1
2025-10-16 10:16:48.244059 after  read() quickack_state: 1
2025-10-16 10:16:48.244078 before read() quickack_state: 1
2025-10-16 10:16:48.344110 after  read() quickack_state: 1
2025-10-16 10:16:48.344128 before read() quickack_state: 1
2025-10-16 10:16:48.444067 after  read() quickack_state: 1
2025-10-16 10:16:48.444086 before read() quickack_state: 1
2025-10-16 10:16:48.541320 client: SO_RCVBUF: 131072 (final)
2025-10-16 10:16:48.541349 bufsize: 1.000 kB RunTime: 9.999 sec ThroughPut: 0.010 MB/s
